Date,Weekly_Sales,SARIMAX_Prediction,Prophet_Prediction,LSTM_Prediction
2012-06-22,1527845.81,1549314.4638248086,1603135.4985897322,1607349.695595857
2012-06-29,1540421.49,1822018.8241429701,1561748.392735757,1625014.5457258667
2012-07-06,1769854.16,2000991.0326860733,1497876.002874324,1620367.0956226017
2012-07-13,1527014.04,1858100.7825567145,1466637.7885376979,1619761.7689376676
2012-07-20,1497954.76,1835536.958827095,1488255.0888943882,1617691.1158377135
2012-07-27,1439123.71,1816979.5307410602,1521918.3797765477,1634281.3630362416
2012-08-03,1631135.79,2083603.535519762,1547078.556381938,1622994.67421008
2012-08-10,1592409.97,2016893.841509603,1562302.9751938458,1615420.0001672234
2012-08-17,1597868.05,2068430.7249731869,1587723.1129056758,1615999.3976392592
2012-08-24,1494122.38,1987428.8593642507,1597881.5595424685,1618820.5810163761
2012-08-31,1582083.4,2092697.5205454063,1601910.0283957252,1614491.6209937239
2012-09-07,1661767.33,2202233.7876769975,1627858.7162706202,1623504.6437350118
2012-09-14,1517428.87,2094018.7348625883,1517447.620385661,1625735.349506494
2012-09-21,1506126.06,1973472.9888738785,1504295.897243694,1620136.7365279044
2012-09-28,1437059.26,2021640.7908366825,1555692.2669866632,1625857.7693968976
2012-10-05,1670785.97,2447251.9610239826,1585634.8805287972,1620514.42456015
2012-10-12,1573072.81,2258892.6295128353,1589705.2480114512,1619517.155860361
2012-10-19,1508068.77,2333626.1828554906,1591951.5964578271,1622699.761293545
2012-10-26,1493659.74,2240894.49581933,1603293.075443597,1634368.75723578
