Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,WeekOfYear,Quarter,Is_Month_End,Weekly_Sales_Lag_1,Weekly_Sales_Lag_2,Weekly_Sales_Lag_4,Weekly_Sales_Lag_52,Sales_Rolling_Mean_4,Sales_Rolling_Std_4,Sales_Rolling_Mean_12
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5,1,0,1316899.31,1327405.42,1444732.28,1643690.9,1370012.7425,59611.18760559322,1607574.3275
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6,1,0,1606629.58,1316899.31,1391013.96,1641957.44,1410487.0675,134799.00547446244,1616920.1683333332
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7,1,0,1649614.93,1606629.58,1327405.42,1611968.17,1475137.31,177573.11444171303,1630739.3975
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,8,1,0,1686842.78,1649614.93,1316899.31,1409727.59,1564996.65,168614.2774516193,1608340.9533333334
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9,1,0,1456800.28,1686842.78,1606629.58,1554806.68,1599971.8924999998,100918.14784923608,1600738.1616666664
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10,1,0,1636263.41,1456800.28,1649614.93,1439541.59,1607380.35,102642.7886173674,1596875.5908333333
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,11,1,0,1553191.63,1636263.41,1686842.78,1472515.79,1583274.525,100722.259369,1568721.9825
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,12,1,0,1576818.06,1553191.63,1456800.28,1404429.92,1555768.3450000002,74663.38536161272,1501127.6375
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13,2,0,1541102.38,1576818.06,1636263.41,1594968.28,1576843.87,42298.79810902612,1515609.5016666667
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,14,2,0,1495064.75,1541102.38,1553191.63,1545418.53,1541544.205,34353.27399302004,1519803.8741666665
